CODE,ค่าแรง,ตำแหน่ง/แผนก,เพศ,Year,Quarter,Month,Day,วุฒิ,ศาสนา,สัญชาติ,อายุ,อายุงาน(เดือน),อายุงาน(ปี),อายุงาน(วัน),วันที่ลาออก,เหตุผล,สถานะ (groups)
A001,,อื่น ๆ สนง.,ญ,2549,Qtr 2,June,5,ป.ตรี,พุทธ,ไทย,45,5,16,21,0,ทำงาน,ทำงาน
A002,,การตลาด,ช,2549,Qtr 2,June,5,ม.3,พุทธ,ไทย,44,5,16,21,7/31/2563,กลับบ้าน,ลาออก
A003,,อื่น ๆ สนง.,ช,2549,Qtr 2,June,5,ป.ตรี,พุทธ,ไทย,45,5,16,21,0,ทำงาน,ทำงาน
A004,,อื่น ๆ สนง.,ญ,2546,Qtr 4,December,16,ม.3,พุทธ,ไทย,38,11,18,10,0,ทำงาน,ทำงาน
A005,,การตลาด,ญ,2554,Qtr 1,March,1,ปวช.,พุทธ,ไทย,43,8,11,25,0,ทำงาน,ทำงาน
A006,,อื่น ๆ สนง.,ญ,2551,Qtr 1,January,16,ป.ตรี,พุทธ,ไทย,43,10,14,10,0,ทำงาน,ทำงาน
A007,,อื่น ๆ สนง.,ญ,2558,Qtr 2,May,27,ปวส.,พุทธ,ไทย,42,5,7,20,0,ทำงาน,ทำงาน
A008,,อื่น ๆ สนง.,ช,2559,Qtr 4,December,1,ป.ตรี,พุทธ,ไทย,54,11,5,25,0,ทำงาน,ทำงาน
A009,,อื่น ๆ สนง.,ช,2559,Qtr 4,December,1,ป.ตรี,พุทธ,ไทย,49,11,5,25,0,ทำงาน,ทำงาน
A010,,การตลาด,ญ,2562,Qtr 3,July,1,ป.ตรี,พุทธ,ไทย,46,3,0,30,10/31/2562,ได้งานใหม่,ลาออก
A011,,การตลาด,ญ,2562,Qtr 4,December,16,ป.ตรี,พุทธ,ไทย,46,6,0,14,6/30/2563,ได้งานใหม่,ลาออก
A012,,การตลาด,ญ,2562,Qtr 1,February,1,ป.ตรี,พุทธ,ไทย,43,3,1,30,5/31/2563,ได้งานใหม่,ลาออก
A013,,การตลาด,ช,2563,Qtr 1,January,20,ม.6,พุทธ,ไทย,28,6,0,11,7/31/2563,ศึกษาต่อ,ลาออก
A014,,การตลาด,ช,2563,Qtr 3,August,3,ปวช.,พุทธ,ญี่ปุ่น,56,7,0,6,3/9/2564,ได้งานใหม่,ลาออก
A015,,การตลาด,ช,2563,Qtr 3,August,1,ป.ตรี,พุทธ,ไทย,46,3,2,25,0,ทำงาน,ทำงาน
A016,,การตลาด,ญ,2563,Qtr 3,August,1,ป.ตรี,พุทธ,ไทย,25,3,1,3,5/4/2564,ได้งานใหม่,ลาออก
B001,,ตกแต่ง,ญ,2553,Qtr 3,September,15,ม.6,พุทธ,ไทย,37,2,12,11,0,ทำงาน,ทำงาน
B002,,ตกแต่ง,ญ,2559,Qtr 3,August,16,ม.3,พุทธ,ไทย,42,3,6,10,ย้ายแผนก,ทำงาน,ทำงาน
B003,,ตกแต่ง,ญ,2561,Qtr 2,April,23,ม.3,พุทธ,ไทย,41,11,0,7,0,ทำงาน,ทำงาน
B004,,ตกแต่ง,ญ,2560,Qtr 3,September,11,'-,พุทธ,พม่า,28,2,5,15,0,ทำงาน,ทำงาน
B005,,ตกแต่ง,ญ,2560,Qtr 4,December,6,'-,พุทธ,พม่า,31,11,4,20,0,ทำงาน,ทำงาน
B006,,ตกแต่ง,ญ,2561,Qtr 1,January,16,'-,พุทธ,พม่า,35,4,3,2,5/18/2564,ได้งานใหม่,ลาออก
B007,,ตกแต่ง,ญ,2554,Qtr 2,April,18,ม.6,พุทธ,ไทย,29,7,11,8,0,ทำงาน,ทำงาน
B008,,ตกแต่ง,ญ,2562,Qtr 2,April,17,ม.3,พุทธ,ไทย,35,2,0,16,7/3/2562,กลับบ้าน,ลาออก
B009,,ตกแต่ง,ญ,2562,Qtr 2,June,28,'-,พุทธ,พม่า,24,4,3,29,0,ทำงาน,ทำงาน
B010,,ตกแต่ง,ญ,2562,Qtr 3,August,3,ปวช.,พุทธ,ไทย,24,3,3,23,0,ทำงาน,ทำงาน
B011,,ตกแต่ง,ญ,2562,Qtr 1,February,1,ป.ตรี,พุทธ,ไทย,43,3,1,30,5/31/2563,ได้งานใหม่,ลาออก
B012,,ตกแต่ง,ญ,2563,Qtr 2,June,1,ป.6,พุทธ,ไทย,20,1,0,6,7/7/2563,กลับบ้าน,ลาออก
B013,,ตกแต่ง,ญ,2563,Qtr 1,March,6,ม.3,พุทธ,ไทย,38,5,0,14,8/20/2563,ได้งานใหม่,ลาออก
B014,,ตกแต่ง,ญ,2563,Qtr 4,October,21,ม.3,พุทธ,ไทย,42,1,2,5,0,ทำงาน,ทำงาน
B015,,ตกแต่ง,ญ,2563,Qtr 4,November,17,'-,พุทธ,ลาว,43,0,2,9,0,ทำงาน,ทำงาน
B016,,ตกแต่ง,ญ,2563,Qtr 4,November,17,'-,พุทธ,ลาว,43,0,2,9,0,ทำงาน,ทำงาน
B017,,ตกแต่ง,ญ,2563,Qtr 4,November,25,ม.6,พุทธ,ไทย,33,0,2,1,0,ทำงาน,ทำงาน
B018,,ตกแต่ง,ญ,2563,Qtr 4,December,1,ม.3,พุทธ,ไทย,30,11,1,25,0,ทำงาน,ทำงาน
B019,,ตกแต่ง,ญ,2563,Qtr 4,December,11,'-,พุทธ,พม่า,28,5,0,6,5/17/2564,ได้งานใหม่,ลาออก
B020,,ตกแต่ง,ญ,2564,Qtr 1,January,9,ป.6,พุทธ,ไทย,31,2,0,22,3/31/2564,กฏระเบียบ,ลาออก
B021,,ตกแต่ง,ญ,2564,Qtr 1,January,9,ป.6,พุทธ,ไทย,28,0,0,22,1/31/2564,กฏระเบียบ,ลาออก
B022,,ตกแต่ง,ญ,2564,Qtr 1,January,21,ม.3,พุทธ,ไทย,21,10,1,5,0,ทำงาน,ทำงาน
B023,,ตกแต่ง,ญ,2564,Qtr 2,May,10,'-,พุทธ,พม่า,26,6,1,5,0,ทำงาน,ทำงาน
B024,,ตกแต่ง,ญ,2564,Qtr 2,May,10,'-,พุทธ,พม่า,34,6,1,5,0,ทำงาน,ทำงาน
